"";"var";"rel.inf"
"prem_index";"prem_index";19,207915253516
"vehicl_region";"vehicl_region";18,6614036134854
"policy_age";"policy_age";8,64310743587783
"prem_freqperyear";"prem_freqperyear";7,87088863107874
"polholder_age";"polholder_age";6,97099138334553
"vehicl_age";"vehicl_age";6,53337261647284
"prem_last";"prem_last";4,89013733754696
"vehicl_agepurchase";"vehicl_agepurchase";4,80578102391774
"prem_pure";"prem_pure";4,16242982547805
"prem_market";"prem_market";4,12494286954349
"polholder_diffdriver";"polholder_diffdriver";4,06056811290018
"prem_final";"prem_final";3,80871375073297
"vehicl_garage";"vehicl_garage";2,69851444518787
"polholder_gender";"polholder_gender";1,95238645386001
"polholder_job";"polholder_job";0,749104632639949
"policy_nbcontract";"policy_nbcontract";0,53308091020684
"vehicl_powerkw";"vehicl_powerkw";0,326661704209676
"polholder_BMCevol";"polholder_BMCevol";0
"policy_caruse";"policy_caruse";0
